===== query1 =====
(4, 351288)
(6, 255341)
(2, 377340)
(9, 100962)
(3, 337195)
(0, 61272)
(5, 474294)
(7, 111528)
(1, 24288)
(8, 284495)
Run time(seconds): 0.0021829605102539062
===== query2 =====
(1, 24288)
(8, 284495)
(9, 100962)
(7, 111528)
(6, 255341)
(3, 337195)
(4, 351288)
(2, 377340)
(0, 61272)
(5, 474294)
Run time(seconds): 0.0005919933319091797
===== query3 =====
(1, 'Name1', 24288)
(8, 'Name8', 284495)
(9, 'Name9', 100962)
(3, 'Name3', 337195)
(2, 'Name2', 377340)
(4, 'Name4', 351288)
(5, 'Name5', 474294)
(0, 'Name0', 61272)
(7, 'Name7', 111528)
(6, 'Name6', 255341)
Run time(seconds): 0.000530242919921875
===== query4 =====
(9, 'Name9', 100962)
(2, 'Name2', 377340)
(4, 'Name4', 351288)
(5, 'Name5', 474294)
(1, 'Name1', 24288)
(3, 'Name3', 337195)
(8, 'Name8', 284495)
(0, 'Name0', 61272)
(7, 'Name7', 111528)
(6, 'Name6', 255341)
Run time(seconds): 0.0005459785461425781
===== query5 =====
(5, 'Name5', 8, 'Title8', 39730)
(9, 'Name9', 3, 'Title3', 74655)
(5, 'Name5', 3, 'Title3', 129465)
(0, 'Name0', 9, 'Title9', 61272)
(9, 'Name9', 9, 'Title9', 26307)
(5, 'Name5', 4, 'Title4', 15207)
(6, 'Name6', 0, 'Title0', 10502)
(5, 'Name5', 1, 'Title1', 93434)
(5, 'Name5', 7, 'Title7', 45484)
(2, 'Name2', 8, 'Title8', 27550)
(7, 'Name7', 4, 'Title4', 2664)
(2, 'Name2', 2, 'Title2', 73055)
(1, 'Name1', 4, 'Title4', 2553)
(8, 'Name8', 3, 'Title3', 80325)
(3, 'Name3', 1, 'Title1', 57970)
(3, 'Name3', 7, 'Title7', 28220)
(2, 'Name2', 5, 'Title5', 48260)
(6, 'Name6', 2, 'Title2', 68441)
(8, 'Name8', 1, 'Title1', 57970)
(2, 'Name2', 3, 'Title3', 89775)
(7, 'Name7', 2, 'Title2', 18456)
(2, 'Name2', 7, 'Title7', 31540)
(7, 'Name7', 8, 'Title8', 6960)
(3, 'Name3', 9, 'Title9', 28305)
(8, 'Name8', 4, 'Title4', 9435)
(5, 'Name5', 9, 'Title9', 45621)
(7, 'Name7', 6, 'Title6', 16248)
(8, 'Name8', 2, 'Title2', 65365)
(5, 'Name5', 2, 'Title2', 105353)
(3, 'Name3', 3, 'Title3', 80325)
(4, 'Name4', 6, 'Title6', 111028)
(2, 'Name2', 6, 'Title6', 64315)
(4, 'Name4', 9, 'Title9', 54612)
(1, 'Name1', 3, 'Title3', 21735)
(6, 'Name6', 9, 'Title9', 29637)
(4, 'Name4', 0, 'Title0', 19352)
(3, 'Name3', 0, 'Title0', 10030)
(6, 'Name6', 8, 'Title8', 25810)
(4, 'Name4', 1, 'Title1', 111848)
(6, 'Name6', 1, 'Title1', 60698)
(6, 'Name6', 6, 'Title6', 60253)
(3, 'Name3', 6, 'Title6', 57545)
(2, 'Name2', 9, 'Title9', 31635)
(2, 'Name2', 0, 'Title0', 11210)
(8, 'Name8', 5, 'Title5', 43180)
(7, 'Name7', 1, 'Title1', 16368)
(3, 'Name3', 2, 'Title2', 65365)
(7, 'Name7', 5, 'Title5', 12192)
(3, 'Name3', 4, 'Title4', 9435)
(7, 'Name7', 9, 'Title9', 7992)
(8, 'Name8', 7, 'Title7', 28220)
(7, 'Name7', 3, 'Title3', 22680)
(7, 'Name7', 7, 'Title7', 7968)
(4, 'Name4', 7, 'Title7', 54448)
Run time(seconds): 0.0009119510650634766
===== query6 =====
(7, 'Name7', 8, 'Title8', 6960)
(7, 'Name7', 2, 'Title2', 18456)
(5, 'Name5', 4, 'Title4', 15207)
(6, 'Name6', 2, 'Title2', 68441)
(6, 'Name6', 9, 'Title9', 29637)
(2, 'Name2', 3, 'Title3', 89775)
(3, 'Name3', 3, 'Title3', 80325)
(4, 'Name4', 1, 'Title1', 111848)
(1, 'Name1', 3, 'Title3', 21735)
(7, 'Name7', 7, 'Title7', 7968)
(3, 'Name3', 0, 'Title0', 10030)
(3, 'Name3', 9, 'Title9', 28305)
(7, 'Name7', 1, 'Title1', 16368)
(2, 'Name2', 2, 'Title2', 73055)
(3, 'Name3', 1, 'Title1', 57970)
(9, 'Name9', 3, 'Title3', 74655)
(7, 'Name7', 6, 'Title6', 16248)
(7, 'Name7', 4, 'Title4', 2664)
(4, 'Name4', 7, 'Title7', 54448)
(4, 'Name4', 9, 'Title9', 54612)
(5, 'Name5', 9, 'Title9', 45621)
(8, 'Name8', 2, 'Title2', 65365)
(6, 'Name6', 0, 'Title0', 10502)
(3, 'Name3', 4, 'Title4', 9435)
(2, 'Name2', 9, 'Title9', 31635)
(8, 'Name8', 3, 'Title3', 80325)
(8, 'Name8', 5, 'Title5', 43180)
(1, 'Name1', 4, 'Title4', 2553)
(9, 'Name9', 9, 'Title9', 26307)
(6, 'Name6', 6, 'Title6', 60253)
(4, 'Name4', 6, 'Title6', 111028)
(7, 'Name7', 3, 'Title3', 22680)
(5, 'Name5', 8, 'Title8', 39730)
(2, 'Name2', 6, 'Title6', 64315)
(5, 'Name5', 2, 'Title2', 105353)
(5, 'Name5', 1, 'Title1', 93434)
(3, 'Name3', 2, 'Title2', 65365)
(2, 'Name2', 8, 'Title8', 27550)
(6, 'Name6', 8, 'Title8', 25810)
(0, 'Name0', 9, 'Title9', 61272)
(8, 'Name8', 4, 'Title4', 9435)
(8, 'Name8', 7, 'Title7', 28220)
(5, 'Name5', 3, 'Title3', 129465)
(7, 'Name7', 5, 'Title5', 12192)
(2, 'Name2', 0, 'Title0', 11210)
(3, 'Name3', 6, 'Title6', 57545)
(3, 'Name3', 7, 'Title7', 28220)
(6, 'Name6', 1, 'Title1', 60698)
(7, 'Name7', 9, 'Title9', 7992)
(5, 'Name5', 7, 'Title7', 45484)
(2, 'Name2', 5, 'Title5', 48260)
(8, 'Name8', 1, 'Title1', 57970)
(4, 'Name4', 0, 'Title0', 19352)
(2, 'Name2', 7, 'Title7', 31540)
Run time(seconds): 0.0003325939178466797
===== query7 =====
(1, 'Name1', 4, 'Title4', 2553)
(8, 'Name8', 4, 'Title4', 9435)
(3, 'Name3', 1, 'Title1', 57970)
(5, 'Name5', 9, 'Title9', 45621)
(2, 'Name2', 6, 'Title6', 64315)
(5, 'Name5', 3, 'Title3', 129465)
(5, 'Name5', 1, 'Title1', 93434)
(2, 'Name2', 3, 'Title3', 89775)
(7, 'Name7', 2, 'Title2', 18456)
(7, 'Name7', 9, 'Title9', 7992)
(0, 'Name0', 9, 'Title9', 61272)
(4, 'Name4', 0, 'Title0', 19352)
(7, 'Name7', 4, 'Title4', 2664)
(5, 'Name5', 8, 'Title8', 39730)
(6, 'Name6', 1, 'Title1', 60698)
(2, 'Name2', 8, 'Title8', 27550)
(5, 'Name5', 2, 'Title2', 105353)
(8, 'Name8', 3, 'Title3', 80325)
(7, 'Name7', 6, 'Title6', 16248)
(7, 'Name7', 3, 'Title3', 22680)
(4, 'Name4', 7, 'Title7', 54448)
(2, 'Name2', 2, 'Title2', 73055)
(3, 'Name3', 3, 'Title3', 80325)
(5, 'Name5', 7, 'Title7', 45484)
(7, 'Name7', 5, 'Title5', 12192)
(2, 'Name2', 9, 'Title9', 31635)
(1, 'Name1', 3, 'Title3', 21735)
(2, 'Name2', 5, 'Title5', 48260)
(6, 'Name6', 0, 'Title0', 10502)
(7, 'Name7', 7, 'Title7', 7968)
(6, 'Name6', 8, 'Title8', 25810)
(6, 'Name6', 6, 'Title6', 60253)
(2, 'Name2', 7, 'Title7', 31540)
(6, 'Name6', 9, 'Title9', 29637)
(3, 'Name3', 2, 'Title2', 65365)
(9, 'Name9', 9, 'Title9', 26307)
(3, 'Name3', 6, 'Title6', 57545)
(4, 'Name4', 1, 'Title1', 111848)
(6, 'Name6', 2, 'Title2', 68441)
(4, 'Name4', 6, 'Title6', 111028)
(8, 'Name8', 7, 'Title7', 28220)
(5, 'Name5', 4, 'Title4', 15207)
(3, 'Name3', 7, 'Title7', 28220)
(2, 'Name2', 0, 'Title0', 11210)
(9, 'Name9', 3, 'Title3', 74655)
(7, 'Name7', 8, 'Title8', 6960)
(8, 'Name8', 2, 'Title2', 65365)
(8, 'Name8', 1, 'Title1', 57970)
(3, 'Name3', 0, 'Title0', 10030)
(4, 'Name4', 9, 'Title9', 54612)
(3, 'Name3', 4, 'Title4', 9435)
(3, 'Name3', 9, 'Title9', 28305)
(8, 'Name8', 5, 'Title5', 43180)
(7, 'Name7', 1, 'Title1', 16368)
Run time(seconds): 0.0004260540008544922
===== query8 =====
(2, 'Name2', 2, 'Title2', 73055)
(8, 'Name8', 3, 'Title3', 80325)
(4, 'Name4', 7, 'Title7', 54448)
(8, 'Name8', 5, 'Title5', 43180)
(3, 'Name3', 0, 'Title0', 10030)
(6, 'Name6', 8, 'Title8', 25810)
(6, 'Name6', 2, 'Title2', 68441)
(7, 'Name7', 1, 'Title1', 16368)
(5, 'Name5', 9, 'Title9', 45621)
(7, 'Name7', 6, 'Title6', 16248)
(2, 'Name2', 0, 'Title0', 11210)
(5, 'Name5', 7, 'Title7', 45484)
(7, 'Name7', 4, 'Title4', 2664)
(5, 'Name5', 2, 'Title2', 105353)
(7, 'Name7', 2, 'Title2', 18456)
(1, 'Name1', 3, 'Title3', 21735)
(3, 'Name3', 9, 'Title9', 28305)
(7, 'Name7', 3, 'Title3', 22680)
(3, 'Name3', 1, 'Title1', 57970)
(4, 'Name4', 9, 'Title9', 54612)
(4, 'Name4', 6, 'Title6', 111028)
(8, 'Name8', 7, 'Title7', 28220)
(2, 'Name2', 5, 'Title5', 48260)
(3, 'Name3', 2, 'Title2', 65365)
(5, 'Name5', 8, 'Title8', 39730)
(6, 'Name6', 6, 'Title6', 60253)
(5, 'Name5', 3, 'Title3', 129465)
(7, 'Name7', 7, 'Title7', 7968)
(8, 'Name8', 2, 'Title2', 65365)
(9, 'Name9', 9, 'Title9', 26307)
(7, 'Name7', 5, 'Title5', 12192)
(9, 'Name9', 3, 'Title3', 74655)
(8, 'Name8', 1, 'Title1', 57970)
(4, 'Name4', 0, 'Title0', 19352)
(2, 'Name2', 6, 'Title6', 64315)
